mmu:106740	no KO assigned | (RefSeq) uncharacterized LOC106740
mmu:654309	no KO assigned | (RefSeq) Nrp; neural regeneration protein
mmu:100861531	no KO assigned | (RefSeq) Rn45s; 45S pre-ribosomal RNA
mmu:236598	K01982 large subunit ribosomal RNA | (RefSeq) Rn28s1, 28s; 28S ribosomal RNA
mmu:790956	K01986 large subunit ribosomal RNA, 5.8S | (RefSeq) Rs5-8s1; 5.8S ribosomal RNA
mmu:266459	no KO assigned | (RefSeq) Gm5039, EG266459; eukaryotic translation initiation factor 1A pseudogene
mmu:626943	no KO assigned | (RefSeq) Pramef17, Gm13107, OTTMUSG00000010438; PRAME family member 17
mmu:69952	no KO assigned | (RefSeq) Tunar, 2810011L19Rik, Tuna; Tcl1 upstream neural differentiation associated RNA
mmu:68260	K07055 tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114] | (RefSeq) Trmt12, 4632406N01Rik, AI449275, Tyw2; tRNA methyltranferase 12
mmu:434676	no KO assigned | (RefSeq) Scgb1b19, Abpa19, EG434676, Gm5632; secretoglobin, family 1B, member 19
mmu:668379	no KO assigned | (RefSeq) Scgb2b12, Abpbg12, EG668379, Gm9138; secretoglobin, family 2B, member 12
mmu:233099	no KO assigned | (RefSeq) Scgb2b27, Abpbg27, Abpbg5, Scgb2b5; secretoglobin, family 2B, member 27
mmu:384585	no KO assigned | (RefSeq) Scgb1b3, Abpa21, Abpa3, EG384585, Gm5325; secretoglobin, family 1B, member 3
mmu:384589	no KO assigned | (RefSeq) Scgb1b29, Abpa29, Abpa29_a7, EG384589, Gm5326; secretoglobin, family 1B, member 29
mmu:545947	no KO assigned | (RefSeq) Scgb2b19, Abpbg19, Gm5894; secretoglobin, family 2B, member 19
mmu:100043868	no KO assigned | (RefSeq) Scgb1b30, Abpa30, Gm12776, OTTMUSG00000008394; secretoglobin, family 1B, member 30
mmu:100873092	no KO assigned | (RefSeq) Gm15679, OTTMUSG00000025218; predicted gene 15679
mmu:231603	no KO assigned | (RefSeq) A630023P12Rik; RIKEN cDNA A630023P12 gene
mmu:330183	no KO assigned | (RefSeq) Gm16063, G630008E18, OTTMUSG00000029664; predicted gene 16063
mmu:76003	no KO assigned | (RefSeq) Tmem150cos, 5830403M04Rik; transmembrane protein 150C, opposite strand
mmu:78212	no KO assigned | (RefSeq) Rbm46os, 4930444E23Rik, 4930564K09Rik, Lratos; RNA binding motif protein 46, opposite strand
mmu:100125931	no KO assigned | (RefSeq) Phtf1os, A130049A11Rik; putative homeodomain transcription factor 1, opposite strand
mmu:71033	no KO assigned | (RefSeq) 4933406K04Rik, 4930426M03Rik, 4930485I22Rik, 4933427G14Rik; RIKEN cDNA 4933406K04 gene
mmu:73588	no KO assigned | (RefSeq) St8sia3os, 1700091E21Rik; ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand
mmu:54218	K00715 ganglioside galactosyltransferase [EC:2.4.1.62] | (RefSeq) B3galt4, Gal-T2, Galt2; UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4
mmu:71306	no KO assigned | (RefSeq) Mfap3l, 4933428A15Rik, 5430405D20Rik, AI461995, AW125052, NYD-sp9, mKIAA0626; microfibrillar-associated protein 3-like
mmu:319750	no KO assigned | (RefSeq) A230009B12Rik; RIKEN cDNA A230009B12 gene
mmu:791381	no KO assigned | (RefSeq) Gm15413, OTTMUSG00000021246; predicted gene 15413
mmu:100861987	no KO assigned | (RefSeq) Gm21379; predicted gene, 21379
mmu:497113	K16633 ribonuclease 11 [EC:3.1.27.-] | (RefSeq) Rnase11, Raj1; ribonuclease, RNase A family, 11 (non-active)
mmu:30923	K09398 forkhead box protein E | (RefSeq) Foxe3, FREAC8, dyl, rct; forkhead box E3
