dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:394147	K13577 solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10 | (RefSeq) slc25a10, zgc:56614; solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
dre:260303	K06249 reelin [EC:3.4.21.-] | (RefSeq) reln; reelin
dre:797512	K00717 glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68] | (RefSeq) fut8a, fut8, wu:fd47h04; fucosyltransferase 8a (alpha (1,6) fucosyltransferase)
dre:552944	no KO assigned | (RefSeq) lrrc30a, im:6897172, lrrc30, zgc:162512; leucine rich repeat containing 30a
dre:777746	K17407 small subunit ribosomal protein S28 | (RefSeq) mrps28, zgc:152965; mitochondrial ribosomal protein S28
dre:100037378	no KO assigned | (RefSeq) ufsp1, zgc:163003; UFM1-specific peptidase 1 (non-functional)
dre:114411	no KO assigned | (RefSeq) neurog3, atoh4, ngn2, ngn3, ngn3a; neurogenin 3
dre:100037374	no KO assigned | (RefSeq) fgfbp2b, zgc:162825; fibroblast growth factor binding protein 2b
dre:100329416	no KO assigned | (RefSeq) rln; relaxin
dre:406252	K14165 atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] | (RefSeq) dusp19b, Dusp19, zgc:76883; dual specificity phosphatase 19b
dre:431734	K17858 cytochrome P450 family 2 subfamily X | (RefSeq) cyp2x8, zgc:192870, zgc:91876; cytochrome P450, family 2, subfamily X, polypeptide 8
dre:393824	K14662 protein N-terminal asparagine amidohydrolase [EC:3.5.1.121] | (RefSeq) ntan1, si:dkey-264o13.5, zgc:77869; N-terminal asparagine amidase
dre:100007749	K15376 gephyrin [EC:2.10.1.1 2.7.7.75] | (RefSeq) gphnb, gphn2, wu:fj59a01; gephyrin b
dre:100126106	K11252 histone H2B | (RefSeq) ano9a, im:7157234, zgc:171937; anoctamin 9a
