path:cel00523	Polyketide sugar unit biosynthesis	C14F11.6 F53B1.4 
path:cel04130	SNARE interactions in vesicular transport	memb-2 vamp-8 syx-16 sec-22 syx-2 vamp-7 snb-7 syx-6 vti-1 syx-5 syx-3 snb-6 snap-29 unc-64 syx-18 snb-1 gos-28 nbet-1 syx-17 snb-5 syx-7 ykt-6 memb-1 
path:cel00601	Glycosphingolipid biosynthesis - lacto and neolacto series	B0024.15 bre-4 
path:cel00232	Caffeine metabolism	F55B11.1 
path:cel03420	Nucleotide excision repair	rfc-4 lig-1 R04F11.3 ddb-1 cyh-1 rpa-2 csb-1 rpa-4 rfc-2 Y55B1AL.2 xpa-1 pole-2 T16H12.4 F10C2.4 R02D3.3 Y53F4B.3 F12F6.7 rpa-1 pole-1 F44B9.8 Y73F8A.24 xpd-1 xpc-1 cul-4 ercc-1 cdk-7 xpb-1 rfc-3 mnat-1 rfc-1 xpf-1 rbx-1 rad-23 
path:cel00565	Ether lipid metabolism	F53C3.13 ipla-3 lis-1 paf-2 F54D7.2 F09G2.8 ipla-2 ads-1 paf-1 T03G6.3 pld-1 C07E3.9 
path:cel00740	Riboflavin metabolism	flad-1 tyr-4 
path:cel00730	Thiamine metabolism	B0205.6 tpk-1 
path:cel03015	mRNA surveillance pathway	ncbp-1 msi-1 cpf-2 cel-1 C05C10.2 erfa-3 Y65B4A.6 acin-1 fipp-1 clpf-1 pcf-11 aly-2 K07A12.4 smg-2 pptr-1 C16C10.4 cpsf-1 symk-1 C02B10.4 pab-2 gsp-2 rsr-1 nxf-2 pfs-2 smg-7 aly-3 C06G1.5 rsa-1 pab-1 ssup-72 R186.7 aly-1 cpsf-4 smg-3 smg-4 pap-1 cpsf-2 gsp-1 rnp-5 paa-1 F33D11.10 T15H9.6 suf-1 T20G5.9 smg-1 rnp-4 swd-2.2 nxt-1 mag-1 pabp-2 F43G6.5 cpf-1 smg-6 cfim-1 R74.6 W08E3.2 pptr-2 let-92 cpsf-3 nxf-1 C44H9.4 tag-72 sur-6 
path:cel00350	Tyrosine metabolism	gst-42 sodh-2 cat-2 tatn-1 alh-5 got-2.1 hdl-1 sodh-1 H24K24.3 basl-1 tdc-1 Y53G8B.1 hpd-1 fah-1 got-1.3 gst-43 hgo-1 got-2.2 got-1.2 mif-1 D2063.1 tyr-4 C31H2.4 
path:cel04212	Longevity regulating pathway - worm	gst-4 timm-23 hif-1 hsp-16.1 akt-1 fat-5 daf-36 let-363 fard-1 nhr-80 akt-2 ddl-1 sod-3 fat-6 ubl-5 hsp-6 tcer-1 hsp-16.48 gcs-1 parp-2 pmk-1 clpp-1 ctl-2 daf-18 jkk-1 hcf-1 F49C12.12 daf-16 sip-1 ftt-2 pha-4 lips-17 hsp-16.11 ddl-2 dve-1 ins-7 parp-1 hsp-12.6 age-1 lgg-1 atf-5 pmk-2 sek-1 kri-1 hsp-60 rsks-1 ist-1 mtl-1 R04A9.7 jnk-1 daf-9 unc-51 ctl-3 daf-2 lipl-4 hsp-16.49 haf-1 sir-2.1 ctl-1 vhl-1 fat-7 daf-12 hsf-1 skn-1 smk-1 hsb-1 pmk-3 sod-2 
path:cel01210	2-Oxocarboxylic acid metabolism	cts-1 got-2.1 aco-1 idha-1 C10C5.5 Y44A6D.5 got-1.3 aco-2 idhb-1 idhg-1 got-2.2 got-1.2 idh-2 C32F10.8 idh-1 bcat-1 idhg-2 
path:cel00982	Drug metabolism - cytochrome P450	gst-5 gst-4 ugt-56 gsto-1 gst-8 gst-11 fmo-1 ugt-61 fmo-2 fmo-5 gst-1 gst-44 gsto-2 ugt-55 fmo-3 gst-30 sodh-2 ugt-58 fmo-4 gstk-1 alh-5 ugt-23 ugt-50 sodh-1 gst-36 gst-10 H24K24.3 gst-7 ugt-48 gst-38 gst-2 ugt-46 ugt-62 C02D5.4 gst-6 gst-3 D2063.1 
path:cel00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	hpo-5 T20D3.8 F01G4.5 C27A12.9 B0491.1 T22C1.3 piga-1 F17C11.7 hpo-3 hpo-4 Y54E10BR.1 
path:cel03060	Protein export	srpa-68 oxa-1 Y54E10BR.5 immp-1 immp-2 C34B2.10 sec-61 ZK512.4 hsp-3 dnj-29 Y38F2AR.9 F37F2.2 srpa-72 F25G6.8 K12H4.4 R186.3 F38A1.8 emo-1 F21D5.7 C18E9.2 hpo-21 
path:cel00330	Arginine and proline metabolism	alh-6 odc-1 ZC434.8 alh-1 got-2.1 C16A3.10 alh-12 F55G1.9 F44G3.2 alh-4 dpy-18 spds-1 B0513.5 got-1.3 got-2.2 phy-2 smd-1 M153.1 got-1.2 alh-13 alh-9 F46H5.3 W10C8.5 daao-1 
path:cel04070	Phosphatidylinositol signaling system	pifk-1 Y75B8A.24 cmd-1 ZK795.1 plc-3 ppk-3 plc-1 mtm-3 mtm-1 mtm-6 cal-2 dgk-5 itr-1 age-1 dgk-3 egl-8 cdgs-1 ppk-1 ppk-2 dgk-1 pisy-1 ipp-5 Y6B3B.5 ttx-7 ZC8.6 aap-1 piki-1 plc-4 F46F11.1 pkc-2 vps-34 unc-26 daf-18 
path:cel00051	Fructose and mannose metabolism	Y39G8B.1 aldo-2 pfk-1.2 gmd-2 fbp-1 F52B11.2 tag-335 pfk-1.1 aldo-1 W02H5.8 ZK632.4 hxk-1 C05C8.7 tpi-1 Y47D9A.1 R04B5.5 bre-1 ger-1 R04B5.6 
path:cel00052	Galactose metabolism	Y39G8B.1 K08E3.5 ZK1058.3 bgal-1 pfk-1.2 hxk-1 aagr-1 R05F9.6 gale-1 Y43F4B.5 Y19D10A.16 pfk-1.1 C01B4.6 
path:cel00230	Purine metabolism	ZK697.8 gcy-18 W06E11.1 rpb-7 T24C4.5 gcy-31 R151.2 rpb-5 gcy-14 ndx-6 rpb-3 acy-1 ndk-1 rpb-12 gcy-35 K02D7.1 gcy-2 pole-2 gcy-28 F55B11.1 atic-1 rpb-2 W09C3.4 pde-2 div-1 F10C2.4 R07H5.8 gcy-5 pyk-1 gcy-12 gmps-1 BE0003N10.1 rpb-9 gcy-20 rpoa-2 guk-1 E02H1.6 pde-4 ama-1 let-754 pri-2 hprt-1 R09H10.3 gcy-33 Y43F4B.5 F10F2.2 gcy-23 Y71H10B.1 pde-3 rpac-19 gcy-36 rpb-10 gcy-34 rpb-11 F19G12.2 rpac-40 hap-1 Y10G11A.1 R04F11.3 ZK673.2 rpoa-1 rpb-6 adss-1 rpb-4 gcy-15 Y47D3A.29 gcy-17 pacs-1 pri-1 ZK909.3 rnr-1 pde-5 adsl-1 pde-6 F38B6.4 let-611 gcy-21 apy-1 rpb-8 Y53F4B.3 rnr-2 F12F6.7 nft-1 T19B4.3 rpc-11 pde-1 ampd-1 pps-1 mig-23 rpc-1 pdl-1 pole-1 R05F9.6 ndx-4 gcy-3 ppat-1 gcy-8 rpoa-12 rpc-25 F32D1.5 uda-1 rpc-2 gcy-1 T22D1.3 
path:cel04150	mTOR signaling pathway	ist-1 mpk-1 ragc-1 R04A9.7 ife-4 hif-1 ife-3 par-4 rheb-1 unc-51 rps-6 akt-1 aap-1 daf-15 pkc-2 aak-2 raga-1 rskn-1 pdk-1 age-1 let-363 mop-25.1 strd-1 lin-45 ife-5 akt-2 aak-1 rsks-1 daf-18 ife-2 
path:cel00520	Amino sugar and nucleotide sugar metabolism	chs-2 T03F6.3 sqv-4 gmd-2 Y52B11A.3 gale-1 F52B11.2 gfat-1 W06B4.2 F21D5.1 C36A4.4 F59B2.3 hex-1 Y47D9A.1 hpo-19 bre-1 ger-1 K08E3.5 ZK1058.3 R05F9.6 chs-1 tag-335 cht-1 gfat-2 gpi-1 ZK632.4 hxk-1 C01F1.3 C05C8.7 T05H4.4 gna-1 Y43F4B.5 sqv-1 
path:cel01200	Carbon metabolism	dlst-1 Y48G10A.1 mdh-2 aldo-2 R151.2 ipgm-1 Y62E10A.13 R12C12.1 fbp-1 acs-19 F26H9.5 pgk-1 rpia-1 dlat-1 gspd-1 pfk-1.1 mthf-1 kat-1 ech-1.1 sdha-1 K09H11.7 mdh-1 Y57G11C.3 gpd-1 mev-1 Y24D9A.8 cts-1 pyk-1 pdhb-1 men-1 acdh-8 suca-1 cysl-1 gpd-4 sdha-2 H24K24.3 sucg-1 dld-1 alh-8 enol-1 aldo-1 ctl-2 ech-1.2 got-2.2 mce-1 C30H6.7 hxk-1 got-1.2 gpd-3 C32F10.8 T25B9.9 C53A3.2 pcca-1 F08F8.7 pfk-1.2 C50D2.7 T02G5.7 F09F7.4 agxt-1 gpd-2 fum-1 gcst-1 sdhd-1 W02H5.8 F26D11.1 aco-2 acdh-7 ogdh-1 mmcm-1 idh-2 idh-1 pccb-1 idhg-2 cysl-2 gdh-1 K02D10.1 got-2.1 K01C8.1 cysl-4 mel-32 Y51H7C.9 pyc-1 aco-1 ctl-3 idha-1 sucl-2 sdhb-1 got-1.3 gpi-1 idhb-1 idhg-1 ctl-1 tpi-1 sucl-1 F44E7.2 pdha-1 C31C9.2 F41E6.5 ech-6 tkt-1 
path:cel00471	D-Glutamine and D-glutamate metabolism	glna-3 glna-2 gdh-1 
