dre:449990	phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:394147	slc25a10, zgc:56614; solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10; K13577 solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10
dre:550520	zgc:110204; K05175 gamma-aminobutyric acid receptor subunit alpha
dre:195820	fshr, GTHR-I, zfGTHR-I; follicle stimulating hormone receptor; K04247 follicle stimulating hormone receptor
dre:606663	psph, zgc:112414; phosphoserine phosphatase (EC:3.1.3.3); K01079 phosphoserine phosphatase [EC:3.1.3.3]
dre:751784	htr2b, 5ht2b, zgc:194094, zgc:194119; 5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled; K04157 5-hydroxytryptamine receptor 2
dre:260303	reln; reelin; K06249 reelin [EC:3.4.21.-]
dre:797512	fut8a, fut8, wu:fd47h04; fucosyltransferase 8a (alpha (1,6) fucosyltransferase) (EC:2.4.1.68); K00717 glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]
dre:552944	lrrc30a, im:6897172, lrrc30, zgc:162512; leucine rich repeat containing 30a
dre:393464	tmem68, zgc:63809; transmembrane protein 68
dre:777746	mrps28, zgc:152965; mitochondrial ribosomal protein S28; K17407 small subunit ribosomal protein S28
dre:100037378	ufsp1, zgc:163003; UFM1-specific peptidase 1 (non-functional)
dre:114411	neurog3, atoh4, ngn2, ngn3, ngn3a; neurogenin 3
dre:81885	meis3, NH10, fc22g05, id:ibd3530, meis3.1, wu:fc22g05; myeloid ecotropic viral integration site 3; K16671 homeobox protein Meis3
dre:393257	polr3d, zgc:56407, zgc:77250; polymerase (RNA) III (DNA directed) polypeptide D (EC:2.7.7.6); K03026 DNA-directed RNA polymerase III subunit RPC4
dre:100037374	fgfbp2b, zgc:162825; fibroblast growth factor binding protein 2b
dre:100329416	rln; relaxin
dre:336726	rpl27a, fa93g12, wu:fa93g12, zgc:77235; ribosomal protein L27a; K02900 large subunit ribosomal protein L27Ae
dre:406252	dusp19b, Dusp19, zgc:76883; dual specificity phosphatase 19b; K14165 atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
dre:431734	cyp2x8, zgc:192870, zgc:91876; cytochrome P450, family 2, subfamily X, polypeptide 8; K17858 cytochrome P450, family 2, subfamily X
dre:393824	ntan1, si:dkey-264o13.5, zgc:77869; N-terminal asparagine amidase; K14662 protein N-terminal asparagine amidohydrolase [EC:3.5.1.-]
dre:387261	baiap2l1a, baiap2l1, cb1023, zgc:85624; BAI1-associated protein 2-like 1a
dre:100007749	gphnb, gphn2, wu:fj59a01; gephyrin b; K15376 gephyrin [EC:2.10.1.1 2.7.7.75]
dre:100126106	ano9a, im:7157234, zgc:171937; anoctamin 9a; K11252 histone H2B
dre:445281	cyp8b1, si:ch73-198j8.4, zgc:92406; cytochrome P450, family 8, subfamily B, polypeptide 1 (EC:1.14.13.95); K07431 sterol 12-alpha-hydroxylase [EC:1.14.18.8 1.14.13.96]
